,event_time,order_id,product_id,category_id,category_code,brand,price,user_id,age,sex,local
0,2020-04-24 115039 UTC,2294359932054536986,1515966223509089906,2.2681054266481713e+18,electronics.tablet,samsung,162.01,1.515915625441994e+18,24.0,女,海南
1,2020-04-24 115039 UTC,2294359932054536986,1515966223509089906,2.2681054266481713e+18,electronics.tablet,samsung,162.01,1.515915625441994e+18,24.0,女,海南
2,2020-04-24 143743 UTC,2294444024058086220,2273948319057183658,2.2681054301629975e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,38.0,女,北京
3,2020-04-24 143743 UTC,2294444024058086220,2273948319057183658,2.2681054301629975e+18,electronics.audio.headphone,huawei,77.52,1.5159156254478794e+18,38.0,女,北京
4,2020-04-24 191621 UTC,2294584263154074236,2273948316817424439,2.26810547136784e+18,,karcher,217.57,1.515915625443148e+18,32.0,女,广东
5,2020-04-26 084557 UTC,2295716521449619559,1515966223509261697,2.268105442636858e+18,furniture.kitchen.table,maestro,39.33,1.5159156254503828e+18,20.0,男,重庆
6,2020-04-26 093347 UTC,2295740594749702229,1515966223509104892,2.2681054281665088e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,21.0,男,北京
7,2020-04-26 093347 UTC,2295740594749702229,1515966223509104892,2.2681054281665088e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,21.0,男,北京
8,2020-04-26 093347 UTC,2295740594749702229,1515966223509104892,2.2681054281665088e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,21.0,男,北京
9,2020-04-26 093347 UTC,2295740594749702229,1515966223509104892,2.2681054281665088e+18,electronics.smartphone,apple,1387.01,1.5159156254487665e+18,21.0,男,北京
10,2020-04-26 145526 UTC,2295902490203259134,2273948311742316796,2.268105393848714e+18,appliances.kitchen.refrigerators,lg,462.94,1.5159156254505613e+18,24.0,男,北京
11,2020-04-26 233539 UTC,2296164324487463110,1515966223509259473,2.2681054024470372e+18,appliances.personal.scales,polaris,30.07,1.5159156254467983e+18,32.0,男,广东
12,2020-04-27 072451 UTC,2296400480990920715,2273948308663698152,2.3744989140005924e+18,electronics.video.tv,samsung,416.64,1.5159156254508997e+18,16.0,女,北京
13,2020-04-27 145722 UTC,2296628237930857206,1515966223509089660,2.2681054100219492e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,49.0,女,浙江
14,2020-04-27 145722 UTC,2296628237930857206,1515966223509089660,2.2681054100219492e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,49.0,女,浙江
15,2020-04-27 145722 UTC,2296628237930857206,1515966223509089660,2.2681054100219492e+18,computers.components.cpu,intel,91.41,1.5159156254511316e+18,49.0,女,浙江
16,2020-04-28 022145 UTC,2296972701060825130,1515966223509104683,2.268105402774193e+18,,philips,23.13,1.5159156254512128e+18,21.0,男,广东
17,2020-04-28 034748 UTC,2297016008231092565,1515966223509089780,2.2681054072201556e+18,computers.notebook,asus,509.24,1.5159156254431588e+18,43.0,女,广东
